Dataset,Weights,Image Size,Threshold,FileName,F1_Value,Precision_Value
2,ASL_160_16_nano.pt,640,0.75,exp238,0.992613812,0.986103169
,,,,,,
1,ASL_320_16_nano.pt,640,0.75,exp239,0.963537657,0.94002037
,,,,,,
2,ASL_320_16_nano.pt,640,0.75,exp240,0.99371776,0.98797039
,,,,,,
1,ASL_64_16_nano.pt,64,0.8,exp241,0.987441063,0.980988384
,,,,,,
2,ASL_64_16_nano.pt,64,0.8,exp242,0.974799944,0.953932876
,,,,,,
1,ASL_128_16_nano.pt,64,0.8,exp243,0.984509721,0.972598881
,,,,,,
2,ASL_128_16_nano.pt,64,0.8,exp244,0.957198253,0.925894808
,,,,,,
1,ASL_160_16_nano.pt,64,0.8,exp245,0.967619104,0.944759381
,,,,,,
2,ASL_160_16_nano.pt,64,0.8,exp246,0.959331079,0.929480788
,,,,,,
1,ASL_320_16_nano.pt,64,0.8,exp247,0.992605426,0.987598098
,,,,,,
2,ASL_320_16_nano.pt,64,0.8,exp248,0.994553207,0.990279902
,,,,,,
1,ASL_64_16_nano.pt,128,0.8,exp249,0.975132519,0.957333984
,,,,,,
2,ASL_64_16_nano.pt,128,0.8,exp250,0.954317715,0.922556635
,,,,,,
1,ASL_128_16_nano.pt,128,0.8,exp251,0.976709632,0.959542542
,,,,,,
2,ASL_128_16_nano.pt,128,0.8,exp252,0.972816645,0.950598374
,,,,,,
1,ASL_160_16_nano.pt,128,0.8,exp253,0.978385761,0.963857543
,,,,,,
2,ASL_160_16_nano.pt,128,0.8,exp254,0.970207501,0.9489763
,,,,,,
1,ASL_320_16_nano.pt,128,0.8,exp255,0.950512639,0.915095811
,,,,,,
2,ASL_320_16_nano.pt,128,0.8,exp256,0.968280679,0.944700043
,,,,,,
1,ASL_64_16_nano.pt,160,0.8,exp257,0.989919859,0.982111482
,,,,,,
2,ASL_64_16_nano.pt,160,0.8,exp258,0.965634544,0.944097034
,,,,,,
1,ASL_128_16_nano.pt,160,0.8,exp259,0.952263164,0.920103358
,,,,,,
2,ASL_128_16_nano.pt,160,0.8,exp260,0.964188481,0.935806825
,,,,,,
1,ASL_160_16_nano.pt,160,0.8,exp261,0.982120268,0.969074652
,,,,,,
2,ASL_160_16_nano.pt,160,0.8,exp262,0.965227172,0.943503952
,,,,,,
1,ASL_320_16_nano.pt,160,0.8,exp263,0.948412444,0.914323283
,,,,,,
2,ASL_320_16_nano.pt,160,0.8,exp264,0.974670646,0.955235824
,,,,,,
1,ASL_64_16_nano.pt,320,0.8,exp265,0.981583983,0.968557636
,,,,,,
2,ASL_64_16_nano.pt,320,0.8,exp266,0.965842718,0.94335768
,,,,,,
1,ASL_128_16_nano.pt,320,0.8,exp267,0.983542648,0.971410773
,,,,,,
2,ASL_128_16_nano.pt,320,0.8,exp268,0.985738806,0.973516728
,,,,,,
1,ASL_160_16_nano.pt,320,0.8,exp269,0.986367427,0.97720141
,,,,,,
2,ASL_160_16_nano.pt,320,0.8,exp270,0.991652471,0.984697775
,,,,,,
1,ASL_320_16_nano.pt,320,0.8,exp271,0.973685381,0.957601444
,,,,,,
2,ASL_320_16_nano.pt,320,0.8,exp272,0.959830678,0.933473709
,,,,,,
1,ASL_64_16_nano.pt,640,0.8,exp273,0.943346775,0.917455871
,,,,,,
2,ASL_64_16_nano.pt,640,0.8,exp274,0.948419813,0.91800658
,,,,,,
1,ASL_128_16_nano.pt,640,0.8,exp275,1,1
,,,,,,
2,ASL_128_16_nano.pt,640,0.8,exp276,0.993432286,0.987806288
,,,,,,
1,ASL_160_16_nano.pt,640,0.8,exp277,1,1
,,,,,,
2,ASL_160_16_nano.pt,640,0.8,exp278,0.998311601,0.996772548
,,,,,,
1,ASL_320_16_nano.pt,640,0.8,exp279,0.986288202,0.977065615
,,,,,,
2,ASL_320_16_nano.pt,640,0.8,exp280,1,1
,,,,,,
1,ASL_64_16_nano.pt,64,0.85,exp281,1,1
,,,,,,
2,ASL_64_16_nano.pt,64,0.85,exp282,0.987892384,0.978153765
,,,,,,
1,ASL_128_16_nano.pt,64,0.85,exp283,0.984509721,0.972598881
,,,,,,
2,ASL_128_16_nano.pt,64,0.85,exp284,0.975213713,0.956765749
,,,,,,
1,ASL_160_16_nano.pt,64,0.85,exp285,0.987883072,0.979167394
,,,,,,
2,ASL_160_16_nano.pt,64,0.85,exp286,0.977092723,0.959061327
,,,,,,
1,ASL_320_16_nano.pt,64,0.85,exp287,0.995711191,0.992259479
,,,,,,
2,ASL_320_16_nano.pt,64,0.85,exp288,1,1
,,,,,,
1,ASL_64_16_nano.pt,128,0.85,exp289,0.982599488,0.969861173
,,,,,,
2,ASL_64_16_nano.pt,128,0.85,exp290,0.975411894,0.955837805
,,,,,,
1,ASL_128_16_nano.pt,128,0.85,exp291,0.982170837,0.969136036
,,,,,,
2,ASL_128_16_nano.pt,128,0.85,exp292,0.984433635,0.971511998
,,,,,,
1,ASL_160_16_nano.pt,128,0.85,exp293,0.989953013,0.982162791
,,,,,,
2,ASL_160_16_nano.pt,128,0.85,exp294,0.979077402,0.962327874
,,,,,,
1,ASL_320_16_nano.pt,128,0.85,exp295,0.97882295,0.962972305
,,,,,,
2,ASL_320_16_nano.pt,128,0.85,exp296,0.981774809,0.967692135
,,,,,,
1,ASL_64_16_nano.pt,160,0.85,exp297,0.989919859,0.982111482
,,,,,,
2,ASL_64_16_nano.pt,160,0.85,exp298,0.98315013,0.970623368
,,,,,,
1,ASL_128_16_nano.pt,160,0.85,exp299,0.977603615,0.961032653
,,,,,,
2,ASL_128_16_nano.pt,160,0.85,exp300,0.989597817,0.980945454
,,,,,,
1,ASL_160_16_nano.pt,160,0.85,exp301,0.982120268,0.969074652
,,,,,,
2,ASL_160_16_nano.pt,160,0.85,exp302,0.973603988,0.956727595
,,,,,,
